Overall rankings for government AI readiness 2018/19,,,,Asia-Pacific,,,,Africa,,,,Latin America and Caribbean,,,,North America,,,,Eastern Europe,,,,Australia/NZ,,,,Western Europe,,
90,Seychelles,4.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Uganda,4.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Zambia,4.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Senegal,4.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Tanzania,4.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bosnia and Herzegovina,4.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Honduras,4.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Kyrgyzstan,4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Tajikistan,3.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Rwanda,3.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bahrain,3.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Cape Verde,3.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Paraguay,3.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bangladesh,3.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Côte d'Ivoire,3.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Sri Lanka,3.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Benin,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Nigeria,3.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Gambia,3.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Mali,3.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Zimbabwe,3.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Egypt,3.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Lebanon,3.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Namibia,3.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Malawi,3.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Guatemala,3.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Bhutan,3.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Nicaragua,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Lesotho,3.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Cameroon,3.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Botswana,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Brunei Darussalam,3.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Belarus,3.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Mongolia,3.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Burkina Faso,2.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Cambodia,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Ethiopia,2.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Mozambique,2.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Chad,2.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Angola,2.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Liechtenstein,2.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Madagascar,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Gabon,2.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Bahamas ,2.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Venezuela ,2.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Monaco,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Barbados,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Laos,2.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Liberia,2.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Andorra,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Guinea,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Algeria,2.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Saint Kitts and Nevis,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Dominica,2.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Antigua and Barbuda,2.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Guyana,2.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,San Marino,2.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Niger,2.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Burundi,2.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Saint Vincent and the Grenadines,2.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Haiti,2.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Mauritania,2.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Yemen,1.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Saint Lucia,1.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Eswatini,1.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Suriname,1.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Iraq,1.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Sao Tome and Principe,1.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Uzbekistan,1.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Myanmar,1.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Sierra Leone,1.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Equatorial Guinea,1.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Togo,1.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Congo ,1.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Grenada,1.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Maldives,1.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Tonga,0.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Fiji,0.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Vanuatu,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Palau,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Samoa,0.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Belize,0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Cuba,0.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Timor-Leste,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Afghanistan,0.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Syria,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Kiribati,0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Tuvalu,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Marshall Islands,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Papua New Guinea,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Djibouti,0.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Solomon Islands,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Turkmenistan,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Libya,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Democratic Republic of the Congo ,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Nauru,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Micronesia ,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Sudan,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Central African Republic,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Comoros ,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Guinea-Bissau,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,South Sudan,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Eritrea,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,North Korea,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Somalia,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVERAGE,4.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
